observableId	simulationConditionId	time	measurement
obs_xA	c_0	0.0	0.0
obs_xA	c_0	0.1	0.17728995079732165
obs_xA	c_0	0.2	0.34935983985848157
obs_xA	c_0	0.30000000000000004	0.4936848087270517
obs_xA	c_0	0.4	0.6003571514538633
obs_xA	c_0	0.5	0.7407431955991438
obs_xA	c_0	0.6000000000000001	0.8512727756691556
obs_xA	c_0	0.7000000000000001	0.8927749695335648
obs_xA	c_0	0.8	0.9370246838855141
obs_xA	c_0	0.9	0.9961990539870436
obs_xB	c_0	0.0	0.0
obs_xB	c_0	0.1	0.09648614705618673
obs_xB	c_0	0.2	0.197507151566445
obs_xB	c_0	0.30000000000000004	0.29658246995816945
obs_xB	c_0	0.4	0.4000363198564767
obs_xB	c_0	0.5	0.47499044852454847
obs_xB	c_0	0.6000000000000001	0.5760557922228543
obs_xB	c_0	0.7000000000000001	0.6872915295095836
obs_xB	c_0	0.8	0.7823439152032907
obs_xB	c_0	0.9	0.8834774294376458
obs_xA	c_1	0.0	0.0
obs_xA	c_1	0.1	0.169938489127021
obs_xA	c_1	0.2	0.33853973818421057
obs_xA	c_1	0.30000000000000004	0.46810704851617196
obs_xA	c_1	0.4	0.5994293393160155
obs_xA	c_1	0.5	0.7246348148885772
obs_xA	c_1	0.6000000000000001	0.8410046155124196
obs_xA	c_1	0.7000000000000001	0.8970740761483434
obs_xA	c_1	0.8	0.9533695969859398
obs_xA	c_1	0.9	0.9836043054687628
obs_xB	c_1	0.0	0.0
obs_xB	c_1	0.1	0.09995956218151406
obs_xB	c_1	0.2	0.19016001605401073
obs_xB	c_1	0.30000000000000004	0.28401340876174686
obs_xB	c_1	0.4	0.3913282511099647
obs_xB	c_1	0.5	0.4778533942524447
obs_xB	c_1	0.6000000000000001	0.57777629842573
obs_xB	c_1	0.7000000000000001	0.6922709333968763
obs_xB	c_1	0.8	0.7883599143294401
obs_xB	c_1	0.9	0.8729300666223561
obs_xA	c_2	0.0	0.0
obs_xA	c_2	0.1	0.15756966748303552
obs_xA	c_2	0.2	0.2991719228621992
obs_xA	c_2	0.30000000000000004	0.4215216747853115
obs_xA	c_2	0.4	0.5783703105580318
obs_xA	c_2	0.5	0.6893759935156971
obs_xA	c_2	0.6000000000000001	0.7833390585574774
obs_xA	c_2	0.7000000000000001	0.8748235416443888
obs_xA	c_2	0.8	0.977193395090333
obs_xA	c_2	0.9	0.9712082910621197
obs_xB	c_2	0.0	0.0
obs_xB	c_2	0.1	0.09724650855252097
obs_xB	c_2	0.2	0.19175611883534202
obs_xB	c_2	0.30000000000000004	0.2902364161085123
obs_xB	c_2	0.4	0.3688775018574486
obs_xB	c_2	0.5	0.4936126505987658
obs_xB	c_2	0.6000000000000001	0.564681844345707
obs_xB	c_2	0.7000000000000001	0.683118995630888
obs_xB	c_2	0.8	0.7832779307349221
obs_xB	c_2	0.9	0.9267374538905889
